book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Jane: A Murder,1932360719,9781932360714,1932360719,2005.0,Maggie Nelson,224,"['Poetry', 'Nonfiction', 'Memoir', 'True Crime', 'Crime', 'Mystery', 'Essays']",5893,4.31,"{'5 Stars': 2760, '4 Stars': 2323, '3 Stars': 689, '2 Stars': 99, '1 Star': 22}"
Every Day On Earth: Fun Facts That Happen Every 24 Hours,0545297060,9780545297066,0545297060,2011.0,Steve Murrie,224,"['Nonfiction', 'Science']",79,4.25,"{'5 Stars': 37, '4 Stars': 27, '3 Stars': 14, '2 Stars': 0, '1 Star': 1}"
كتاب الغواية,isbn not found,isbn13 not found,B0DLTB47W2,2010.0,عزت القمحاوي,173,['Nonfiction'],283,3.6,"{'5 Stars': 51, '4 Stars': 116, '3 Stars': 77, '2 Stars': 31, '1 Star': 8}"
Dress Your Family in Corduroy and Denim,0965904830,9780965904834,0349116709,2004.0,David Sedaris,257,"['Humor', 'Nonfiction', 'Memoir', 'Essays', 'Short Stories', 'Comedy', 'Audiobook']",285451,4.11,"{'5 Stars': 112955, '4 Stars': 110741, '3 Stars': 47769, '2 Stars': 9414, '1 Star': 4572}"
Living with the Enemy,0893814806,9780893814809,0893814806,1991.0,Donna Ferrato,176,"['Photography', 'Nonfiction', 'Art', 'Feminism']",54,4.57,"{'5 Stars': 35, '4 Stars': 15, '3 Stars': 4, '2 Stars': 0, '1 Star': 0}"
Jeni's Splendid Ice Creams at Home,1579654363,9781579654368,1579654363,2011.0,Jeni Britton Bauer,217,"['Cookbooks', 'Food', 'Cooking', 'Nonfiction', 'Reference', 'Foodie', 'Food and Drink']",5451,4.17,"{'5 Stars': 2836, '4 Stars': 1354, '3 Stars': 808, '2 Stars': 256, '1 Star': 197}"
The Forgotten Soldier,1857971450,9781857971453,1857971450,1967.0,Guy Sajer,560,"['History', 'Nonfiction', 'War', 'World War II', 'Military Fiction', 'Biography', 'Memoir']",11751,4.38,"{'5 Stars': 6707, '4 Stars': 3416, '3 Stars': 1213, '2 Stars': 269, '1 Star': 146}"
Stories I Only Tell My Friends,080509329,9780805093292,080509329X,2011.0,Rob Lowe,320,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Autobiography', 'Biography Memoir', 'Book Club']",83379,3.87,"{'5 Stars': 23578, '4 Stars': 34245, '3 Stars': 19023, '2 Stars': 4393, '1 Star': 2140}"
"Will You Sign Here, John Hancock?",isbn not found,isbn13 not found,asin not found,1976.0,Jean Fritz,48,"['History', 'Biography', 'Nonfiction', 'Picture Books', 'American History', 'Childrens', 'American Revolution']",388,3.94,"{'5 Stars': 128, '4 Stars': 146, '3 Stars': 89, '2 Stars': 14, '1 Star': 11}"
Traitor: the Case of Benedict Arnold,0698115538,9780698115538,0698115538,1981.0,Jean Fritz,192,"['History', 'Biography', 'Nonfiction', 'School', 'American History', 'Historical', 'Childrens']",582,3.38,"{'5 Stars': 97, '4 Stars': 169, '3 Stars': 203, '2 Stars': 85, '1 Star': 28}"
"The Tigress of Forlì: Renaissance Italy's Most Courageous and Notorious Countess, Caterina Riario Sforza de Medici",0151012997,9780151012992,0151012997,2011.0,Elizabeth Lev,316,"['History', 'Biography', 'Nonfiction', 'Italy', 'Historical', 'European History', 'Womens']",2786,4.07,"{'5 Stars': 1015, '4 Stars': 1145, '3 Stars': 478, '2 Stars': 103, '1 Star': 45}"
The Sunset Strip Diaries,061543987,9780615439877,061543987X,2010.0,Amy Asbury,325,"['Memoir', 'Nonfiction', 'Mental Illness', 'Music', 'Coming Of Age', 'Biography', 'Autobiography']",652,3.79,"{'5 Stars': 224, '4 Stars': 195, '3 Stars': 137, '2 Stars': 65, '1 Star': 31}"
"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",0812973011,9780812973013,0812973011,2003.0,Tracy Kidder,333,"['Nonfiction', 'Biography', 'Medicine', 'Book Club', 'Memoir', 'Science', 'Medical']",87002,4.2,"{'5 Stars': 40593, '4 Stars': 29390, '3 Stars': 12274, '2 Stars': 3206, '1 Star': 1539}"
Bismarck: A Life,0199782520,9780199782529,0199782520,2011.0,Jonathan Steinberg,577,"['History', 'Biography', 'Nonfiction', 'Germany', 'Politics', 'European History', '19th Century']",1456,3.76,"{'5 Stars': 386, '4 Stars': 542, '3 Stars': 363, '2 Stars': 124, '1 Star': 41}"
Blue Nights,0307267679,9780307267672,0307267679,2011.0,Joan Didion,208,"['Memoir', 'Nonfiction', 'Biography', 'Audiobook', 'Grief', 'Biography Memoir', 'Essays']",45093,3.94,"{'5 Stars': 14090, '4 Stars': 17745, '3 Stars': 10304, '2 Stars': 2393, '1 Star': 561}"
Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,0316037702,9780316037709,0316037702,2011.0,Kevin D. Mitnick,413,"['Nonfiction', 'Biography', 'Technology', 'Audiobook', 'Memoir', 'Hackers', 'Crime']",26696,3.96,"{'5 Stars': 9276, '4 Stars': 10131, '3 Stars': 5079, '2 Stars': 1458, '1 Star': 752}"
The Man in the Rockefeller Suit: The Astonishing Rise and Spectacular Fall of a Serial Impostor,0670022748,9780670022748,0670022748,2011.0,Mark Seal,323,"['Nonfiction', 'True Crime', 'Biography', 'Crime', 'Book Club', 'Audiobook', 'Mystery']",5724,3.85,"{'5 Stars': 1344, '4 Stars': 2577, '3 Stars': 1490, '2 Stars': 252, '1 Star': 61}"
Another Day of Life,014118678,9780141186788,014118678X,1976.0,Ryszard Kapuściński,149,"['Nonfiction', 'Africa', 'History', 'Angola', 'Journalism', 'Travel', 'Polish Literature']",5733,4.18,"{'5 Stars': 2207, '4 Stars': 2521, '3 Stars': 869, '2 Stars': 113, '1 Star': 23}"
The Normal Christian Life,0875084141,9780875084145,0875084141,1940.0,Watchman Nee,294,"['Christian', 'Christian Living', 'Theology', 'Christianity', 'Nonfiction', 'Faith', 'Spirituality']",9297,4.28,"{'5 Stars': 5110, '4 Stars': 2445, '3 Stars': 1159, '2 Stars': 371, '1 Star': 212}"
Taking Back God: American Women Rising Up for Religious Equality,1582437084,9781582437088,1582437084,2008.0,Leora Tanenbaum,368,"['Religion', 'Nonfiction', 'Womens Studies', 'Feminism']",44,4.0,"{'5 Stars': 16, '4 Stars': 16, '3 Stars': 8, '2 Stars': 4, '1 Star': 0}"
Understanding Comics: The Invisible Art,isbn not found,isbn13 not found,B0DSZNL2PY,1993.0,Scott McCloud,222,"['Comics', 'Nonfiction', 'Graphic Novels', 'Art', 'Design', 'Graphic Novels Comics', 'Writing']",127744,4.01,"{'5 Stars': 59229, '4 Stars': 33723, '3 Stars': 19608, '2 Stars': 7492, '1 Star': 7692}"
"Against Our Will: Men, Women and Rape",0449908208,9780449908204,0449908208,1975.0,Susan Brownmiller,472,"['Feminism', 'Nonfiction', 'Gender Studies', 'History', 'Sociology', 'Gender', 'Politics']",4059,4.05,"{'5 Stars': 1630, '4 Stars': 1364, '3 Stars': 800, '2 Stars': 164, '1 Star': 101}"
Give Me Tomorrow: The Korean War's Greatest Untold Story,isbn not found,isbn13 not found,B004BKJB9Q,2010.0,Patrick K. O'Donnell,290,"['History', 'Nonfiction', 'Military Fiction', 'Military History', 'War', 'Audiobook', 'Biography']",2177,3.95,"{'5 Stars': 786, '4 Stars': 787, '3 Stars': 403, '2 Stars': 117, '1 Star': 84}"
Stolen Lives: Twenty Years in a Desert Jail,0786886307,9780786886302,0786886307,1999.0,Malika Oufkir,294,"['Nonfiction', 'Memoir', 'Biography', 'Book Club', 'Morocco', 'Africa', 'Biography Memoir']",24380,4.06,"{'5 Stars': 9538, '4 Stars': 8670, '3 Stars': 4669, '2 Stars': 1105, '1 Star': 398}"
Is Everyone Hanging Out Without Me?,0307886263,9780307886262,0307886263,2011.0,Mindy Kaling,222,"['Nonfiction', 'Memoir', 'Humor', 'Audiobook', 'Biography', 'Comedy', 'Biography Memoir']",508175,3.86,"{'5 Stars': 153338, '4 Stars': 185019, '3 Stars': 127839, '2 Stars': 29992, '1 Star': 11987}"
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",0385526261,9780385526265,0385526261,2011.0,Candice Millard,339,"['History', 'Nonfiction', 'Biography', 'American History', 'Presidents', 'Book Club', 'Politics']",80421,4.22,"{'5 Stars': 38297, '4 Stars': 28561, '3 Stars': 8898, '2 Stars': 2465, '1 Star': 2200}"
Come to the Edge,0385523173,9780385523172,0385523173,2010.0,Christina Haag,304,"['Memoir', 'Nonfiction', 'Biography', 'Autobiography', 'Biography Memoir', 'New York', 'Romance']",3312,3.93,"{'5 Stars': 1105, '4 Stars': 1185, '3 Stars': 756, '2 Stars': 204, '1 Star': 62}"
The 10X Rule: The Only Difference Between Success and Failure,0470627603,9780470627600,0470627603,2011.0,Grant Cardone,240,"['Business', 'Self Help', 'Nonfiction', 'Personal Development', 'Productivity', 'Audiobook', 'Leadership']",28963,3.93,"{'5 Stars': 11456, '4 Stars': 8505, '3 Stars': 5652, '2 Stars': 2185, '1 Star': 1165}"
A Widow's Story,isbn not found,isbn13 not found,B004G606OO,2011.0,Joyce Carol Oates,437,"['Memoir', 'Nonfiction', 'Biography', 'Grief', 'Biography Memoir', 'Death', 'Womens']",4155,3.75,"{'5 Stars': 1152, '4 Stars': 1501, '3 Stars': 991, '2 Stars': 353, '1 Star': 158}"
Thinking In Pictures: and Other Reports from My Life with Autism,0679772898,9780679772897,0679772898,1995.0,Temple Grandin,240,"['Nonfiction', 'Autistic Spectrum Disorder', 'Memoir', 'Psychology', 'Biography', 'Science', 'Autobiography']",16733,4.1,"{'5 Stars': 6378, '4 Stars': 6560, '3 Stars': 3093, '2 Stars': 534, '1 Star': 168}"
Stop Worrying: Relax and Be Happy,isbn not found,isbn13 not found,B0DLTBNMTL,1987.0,محمد الغزالي,256,"['Religion', 'Islam', 'Self Help', 'Nonfiction', 'Psychology', 'Philosophy', 'Spirituality']",11752,4.21,"{'5 Stars': 5741, '4 Stars': 3677, '3 Stars': 1664, '2 Stars': 442, '1 Star': 228}"
Trump: How to Get Rich,0345481038,9780345481030,B01GY1LO4E,2004.0,Donald J. Trump,320,"['Business', 'Nonfiction', 'Self Help', 'Finance', 'Biography', 'Money', 'Personal Development']",3013,3.39,"{'5 Stars': 818, '4 Stars': 638, '3 Stars': 815, '2 Stars': 396, '1 Star': 346}"
