book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Ann Marie's Asylum,isbn not found,isbn13 not found,B0DTT611QV,2013.0,Christopher Rankin,ebook,"['Fantasy', 'Horror', 'Young Adult']",135,3.5,"{'5 Stars': 36, '4 Stars': 36, '3 Stars': 35, '2 Stars': 16, '1 Star': 12}"
Downfall,0451465296,9780451465290,0451465296,2014.0,Rob Thurman,352,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Fiction', 'Werewolves', 'Dark Fantasy', 'Supernatural']",1787,4.16,"{'5 Stars': 794, '4 Stars': 606, '3 Stars': 287, '2 Stars': 75, '1 Star': 25}"
Illusions of Fate,0062135899,9780062135896,0062135899,2014.0,Kiersten White,278,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Historical Fiction', 'Paranormal', 'Historical']",7657,3.84,"{'5 Stars': 2194, '4 Stars': 2864, '3 Stars': 1923, '2 Stars': 499, '1 Star': 177}"
The Specimen,1495230007,9781495230004,1495230007,2014.0,Pete Kahle,512,"['Horror', 'Science Fiction', 'Thriller', 'Aliens', 'Adventure', 'Fiction', 'Action']",325,3.64,"{'5 Stars': 75, '4 Stars': 115, '3 Stars': 93, '2 Stars': 28, '1 Star': 14}"
The Tree Man,isbn not found,isbn13 not found,B00H54X8IK,2014.0,David   Bernstein,84,"['Horror', 'Coming Of Age', 'Novella']",30,4.17,"{'5 Stars': 15, '4 Stars': 7, '3 Stars': 6, '2 Stars': 2, '1 Star': 0}"
Blood Engines,0553589989,9780553589986,0553589989,2007.0,T.A. Pratt,368,"['Urban Fantasy', 'Fantasy', 'Fiction', 'Paranormal', 'Magic', 'Witches', 'Urban']",3251,3.53,"{'5 Stars': 622, '4 Stars': 1097, '3 Stars': 1049, '2 Stars': 337, '1 Star': 146}"
The Clinic,isbn not found,isbn13 not found,B00GRPO1IY,2013.0,David Jester,245,"['Horror', 'Thriller', 'Fiction', 'Adult Fiction', 'Suspense', 'Amazon']",310,3.1,"{'5 Stars': 55, '4 Stars': 64, '3 Stars': 88, '2 Stars': 62, '1 Star': 41}"
The Vanishing Girl,0989206475,9780989206471,0989206475,2014.0,Laura Thalassa,338,"['New Adult', 'Romance', 'Fantasy', 'Science Fiction', 'Paranormal', 'Young Adult', 'Dystopia']",6188,3.87,"{'5 Stars': 2105, '4 Stars': 2053, '3 Stars': 1357, '2 Stars': 453, '1 Star': 220}"
Boy in Darkness and Other Stories,072061306,9780720613063,072061306X,2007.0,Mervyn Peake,200,"['Fantasy', 'Short Stories', 'Fiction', 'Horror', 'Gothic', 'Anthologies', 'Classics']",367,4.04,"{'5 Stars': 123, '4 Stars': 161, '3 Stars': 61, '2 Stars': 20, '1 Star': 2}"
House Infernal,0843958065,9780843958065,0843958065,2007.0,Edward Lee,369,"['Horror', 'Fiction', 'Splatterpunk', 'Fantasy', 'Horror Thriller', 'Death', 'Demons']",1606,3.97,"{'5 Stars': 587, '4 Stars': 543, '3 Stars': 354, '2 Stars': 81, '1 Star': 41}"
In the Devil's Own Words,isbn not found,isbn13 not found,B0DWTTTNVC,2012.0,Elizabeth Wixley,306,"['Horror', 'Fantasy', 'Suspense']",185,4.42,"{'5 Stars': 137, '4 Stars': 19, '3 Stars': 8, '2 Stars': 12, '1 Star': 9}"
The Brain Eaters,isbn not found,isbn13 not found,B00913S3SI,1985.0,Gary Brandner,288,"['Horror', 'Fiction', 'Zombies', 'Horror Thriller']",162,3.5700000000000003,"{'5 Stars': 29, '4 Stars': 55, '3 Stars': 60, '2 Stars': 16, '1 Star': 2}"
The Girl With All the Gifts: Extended Free Preview,isbn not found,isbn13 not found,B00GM0P52U,2014.0,M.R. Carey,Kindle Edition,"['Horror', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Audiobook', 'Thriller']",3426,3.98,"{'5 Stars': 1158, '4 Stars': 1354, '3 Stars': 679, '2 Stars': 169, '1 Star': 66}"
Sanctuary,isbn not found,isbn13 not found,B0DWTRCFTX,2013.0,Pauline Creeden,268,"['Science Fiction', 'Horror', 'Zombies', 'Young Adult', 'Post Apocalyptic', 'Aliens', 'Thriller']",299,3.89,"{'5 Stars': 111, '4 Stars': 92, '3 Stars': 60, '2 Stars': 25, '1 Star': 11}"
Sacrifice,isbn not found,isbn13 not found,B00C3ONLP2,2012.0,Stacey Rourke,272,"['Fantasy', 'Paranormal', 'Young Adult', 'Urban Fantasy', 'Angels', 'Romance', 'Demons']",346,4.41,"{'5 Stars': 208, '4 Stars': 88, '3 Stars': 38, '2 Stars': 8, '1 Star': 4}"
Descension,0988695154,9780988695153,B00BZE8PNY,2012.0,B.C. Burgess,368,"['Paranormal', 'Fantasy', 'Romance', 'Magic', 'Witches', 'Paranormal Romance', 'New Adult']",2697,3.93,"{'5 Stars': 1023, '4 Stars': 837, '3 Stars': 548, '2 Stars': 194, '1 Star': 95}"
Birthright,isbn not found,isbn13 not found,B0DTT7233N,2013.0,A.P. Jensen,322,"['Amazon', 'Fantasy', 'Paranormal']",509,4.3,"{'5 Stars': 279, '4 Stars': 144, '3 Stars': 59, '2 Stars': 16, '1 Star': 11}"
The Lords of Darkness,isbn not found,isbn13 not found,B0DLT7L26G,1978.0,Tanith Lee,726,"['Fantasy', 'Fiction', 'High Fantasy', 'Horror', 'Science Fiction', 'Science Fiction Fantasy', 'Speculative Fiction']",482,4.38,"{'5 Stars': 274, '4 Stars': 136, '3 Stars': 58, '2 Stars': 11, '1 Star': 3}"
Phantoms of the Otherworld,isbn not found,isbn13 not found,B00E9DHNP4,2013.0,Zoe Reed,368,"['Paranormal', 'Fantasy', 'Lesbian', 'LGBT', 'Young Adult', 'Urban Fantasy', 'Supernatural']",361,3.77,"{'5 Stars': 93, '4 Stars': 132, '3 Stars': 103, '2 Stars': 26, '1 Star': 7}"
Witch in the Woods,1500266736,9781500266738,1500266736,2013.0,Taylor Ann Bunker,204,"['Fantasy', 'Paranormal', 'Young Adult', 'Horror', 'Witches', 'Fiction', 'Supernatural']",229,4.1,"{'5 Stars': 123, '4 Stars': 49, '3 Stars': 29, '2 Stars': 13, '1 Star': 15}"
La carretera,9586395502,9789586395502,9586395502,2006.0,Cormac McCarthy,210,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Book Club']",988907,4.0,"{'5 Stars': 380742, '4 Stars': 343527, '3 Stars': 174718, '2 Stars': 59344, '1 Star': 30576}"
Plague of Angels,0982926952,9780982926956,0982926952,2013.0,John Patrick Kennedy,416,"['Fantasy', 'Paranormal', 'Angels', 'Fiction', 'Mythology', 'Dark', 'Demons']",1107,3.52,"{'5 Stars': 349, '4 Stars': 271, '3 Stars': 213, '2 Stars': 154, '1 Star': 120}"
Blood's Voice,isbn not found,isbn13 not found,B00J0YWS9S,2011.0,Aine P. Massie,Kindle Edition,"['Romance', 'Young Adult', 'LGBT', 'Paranormal']",52,3.58,"{'5 Stars': 13, '4 Stars': 17, '3 Stars': 13, '2 Stars': 5, '1 Star': 4}"
A Wicked Hunger,0983573387,9780983573388,B00HO1NYDS,2014.0,Kiersten Fay,358,"['Paranormal', 'Vampires', 'Romance', 'Paranormal Romance', 'Fantasy', 'Magic', 'Urban Fantasy']",710,3.7,"{'5 Stars': 203, '4 Stars': 228, '3 Stars': 178, '2 Stars': 66, '1 Star': 35}"
The Chosen One,isbn not found,isbn13 not found,B007SRTYBE,2012.0,Cynthia Vespia,187,['Paranormal Romance'],6,3.67,"{'5 Stars': 2, '4 Stars': 1, '3 Stars': 2, '2 Stars': 1, '1 Star': 0}"
Skin Game,0451464397,9780451464392,0451464397,2014.0,Jim  Butcher,464,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Audiobook', 'Mystery', 'Paranormal', 'Magic']",90044,4.5600000000000005,"{'5 Stars': 57001, '4 Stars': 27050, '3 Stars': 5259, '2 Stars': 552, '1 Star': 182}"
Premonitions,0451467442,9780451467447,0451467442,2014.0,Jamie Schultz,384,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Fiction', 'Magic', 'Demons', 'Crime']",228,3.25,"{'5 Stars': 29, '4 Stars': 67, '3 Stars': 84, '2 Stars': 28, '1 Star': 20}"
Tagged: The Apocalypse,isbn not found,isbn13 not found,B00GHNPTV4,2011.0,Joseph M. Chiron,120,"['Horror', 'Zombies', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Paranormal', 'Apocalyptic']",370,3.31,"{'5 Stars': 164, '4 Stars': 31, '3 Stars': 38, '2 Stars': 31, '1 Star': 106}"
Under Different Stars,0991292502,9780991292509,B00HCJX2PM,2013.0,Amy A. Bartol,297,"['Fantasy', 'Young Adult', 'Romance', 'Science Fiction', 'Paranormal', 'Aliens', 'Audiobook']",20042,4.2,"{'5 Stars': 9805, '4 Stars': 6274, '3 Stars': 2645, '2 Stars': 878, '1 Star': 440}"
Sweep in Peace,1943772320,9781943772322,1943772320,2015.0,Ilona Andrews,237,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Science Fiction', 'Magic', 'Vampires', 'Romance']",40780,4.32,"{'5 Stars': 19846, '4 Stars': 15120, '3 Stars': 4915, '2 Stars': 680, '1 Star': 219}"
Bloodline,1492169676,9781492169673,1492169676,2013.0,Tara Ellis,238,"['Science Fiction', 'Young Adult', 'Paranormal', 'Dystopia', 'Amazon', 'Post Apocalyptic', 'Apocalyptic']",478,3.99,"{'5 Stars': 182, '4 Stars': 155, '3 Stars': 102, '2 Stars': 31, '1 Star': 8}"
Haunted on Bourbon Street,1940299063,9781940299068,1940299063,2011.0,Deanna Chase,260,"['Paranormal', 'Romance', 'Fantasy', 'Mystery', 'Paranormal Romance', 'Urban Fantasy', 'Ghosts']",13241,3.85,"{'5 Stars': 4120, '4 Stars': 4577, '3 Stars': 3312, '2 Stars': 891, '1 Star': 341}"
Beautiful You,0385538030,9780385538039,0385538030,2014.0,Chuck Palahniuk,240,"['Fiction', 'Humor', 'Contemporary', 'Horror', 'Science Fiction', 'Thriller', 'Audiobook']",19598,3.05,"{'5 Stars': 2447, '4 Stars': 4594, '3 Stars': 6407, '2 Stars': 3877, '1 Star': 2273}"
The Ghost in Bone,1645241343,9781645241348,B0CD2S3D8G,2023.0,Mike Carey,126,"['Urban Fantasy', 'Horror', 'Fantasy', 'Novella', 'Paranormal', 'Fiction', 'Mystery']",315,4.38,"{'5 Stars': 157, '4 Stars': 124, '3 Stars': 32, '2 Stars': 1, '1 Star': 1}"
The Girl and The Raven,isbn not found,isbn13 not found,B0DWVS8HBS,2013.0,Pauline Gruber,404,"['Young Adult', 'Fantasy', 'Witches', 'Romance', 'Paranormal', 'Demons', 'Fiction']",289,3.87,"{'5 Stars': 91, '4 Stars': 101, '3 Stars': 70, '2 Stars': 22, '1 Star': 5}"
Family Night,isbn not found,isbn13 not found,B00HCTD41E,2013.0,Tim  Miller,115,"['Horror', 'Splatterpunk', 'Novella', 'Thriller']",394,3.82,"{'5 Stars': 127, '4 Stars': 128, '3 Stars': 92, '2 Stars': 35, '1 Star': 12}"
The Mind's Eye,isbn not found,isbn13 not found,B00Q426R3M,2014.0,K.C. Finn,Paperback,"['Young Adult', 'Paranormal', 'Fantasy', 'Historical Fiction', 'Fiction', 'Historical', 'Romance']",488,4.14,"{'5 Stars': 213, '4 Stars': 166, '3 Stars': 80, '2 Stars': 21, '1 Star': 8}"
Trust,0316404306,9780316404303,B00HCKSYAE,2014.0,D.J. Molles,83,"['Zombies', 'Horror', 'Post Apocalyptic', 'Fiction', 'Military Fiction', 'Science Fiction', 'Apocalyptic']",1694,4.22,"{'5 Stars': 767, '4 Stars': 599, '3 Stars': 275, '2 Stars': 46, '1 Star': 7}"
Wild-born,isbn not found,isbn13 not found,B0DLT75TFP,2013.0,Adrian Howell,266,"['Fantasy', 'Paranormal', 'Young Adult', 'Science Fiction', 'Urban Fantasy', 'Fiction', 'Supernatural']",1554,3.97,"{'5 Stars': 592, '4 Stars': 507, '3 Stars': 319, '2 Stars': 91, '1 Star': 45}"
Alien Clay,1035013770,9781035013777,B0CD7VPR99,2024.0,Adrian Tchaikovsky,396,"['Science Fiction', 'Fiction', 'Audiobook', 'Aliens', 'Horror', 'Fantasy', 'Dystopia']",10276,4.02,"{'5 Stars': 3393, '4 Stars': 4326, '3 Stars': 2053, '2 Stars': 398, '1 Star': 106}"
Thores-Cross: A Yorkshire Ghost Story,isbn not found,isbn13 not found,B0DLT72QQ3,2012.0,Karen Perkins,236,"['Horror', 'Historical Fiction', 'Fiction', 'Paranormal', 'Historical', 'Mystery', 'Ghosts']",1222,3.89,"{'5 Stars': 441, '4 Stars': 365, '3 Stars': 284, '2 Stars': 103, '1 Star': 29}"
Bloodline,isbn not found,isbn13 not found,asin not found,2012.0,Eric J. Gates,ebook,"['Mystery', 'Fantasy', 'Paranormal', 'Suspense', 'Amazon', 'Supernatural', 'Crime']",168,4.29,"{'5 Stars': 88, '4 Stars': 50, '3 Stars': 22, '2 Stars': 6, '1 Star': 2}"
Insanity,isbn not found,isbn13 not found,B0DWV2YT16,2013.0,Cameron Jace,247,"['Fantasy', 'Young Adult', 'Retellings', 'Horror', 'Fiction', 'Paranormal', 'Fairy Tales']",6645,3.83,"{'5 Stars': 2289, '4 Stars': 2092, '3 Stars': 1409, '2 Stars': 564, '1 Star': 291}"
Caleb Williams,0141441232,9780141441238,0141441232,1794.0,William Godwin,384,"['Classics', 'Fiction', 'Gothic', '18th Century', 'Literature', 'Mystery', 'Horror']",4790,3.45,"{'5 Stars': 983, '4 Stars': 1340, '3 Stars': 1568, '2 Stars': 655, '1 Star': 244}"
Twilight of Embers,isbn not found,isbn13 not found,B0CDHMGBLJ,2024.0,Tessa Hale,256,"['Fantasy', 'Reverse Harem', 'Dragons', 'Paranormal', 'Romance', 'Romantasy', 'Shapeshifters']",24851,4.07,"{'5 Stars': 9654, '4 Stars': 8890, '3 Stars': 4895, '2 Stars': 1096, '1 Star': 316}"
Julia,0345438655,9780345438652,0345438655,1975.0,Peter Straub,304,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Supernatural', 'Ghosts']",2735,3.48,"{'5 Stars': 481, '4 Stars': 836, '3 Stars': 1019, '2 Stars': 310, '1 Star': 89}"
Koko,0007103670,9780007103676,0007103670,1988.0,Peter Straub,656,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'War']",10023,3.6,"{'5 Stars': 2150, '4 Stars': 3448, '3 Stars': 3069, '2 Stars': 978, '1 Star': 378}"
Lost Boy Lost Girl,0449149919,9780449149911,0449149919,2003.0,Peter Straub,336,"['Horror', 'Fiction', 'Mystery', 'Thriller', 'Supernatural', 'Suspense', 'Fantasy']",5712,3.5,"{'5 Stars': 1009, '4 Stars': 1897, '3 Stars': 1942, '2 Stars': 645, '1 Star': 219}"
