book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Great Expectations,0192833596,9780192833594,0192833596,1861.0,Charles Dickens,544,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', 'Classic Literature']",851935,3.8,"{'5 Stars': 268684, '4 Stars': 284331, '3 Stars': 192796, '2 Stars': 69664, '1 Star': 36460}"
The Drowned World,1857988833,9781857988833,1857988833,1962.0,J.G. Ballard,176,"['Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Fantasy', 'Novels']",19982,3.48,"{'5 Stars': 3506, '4 Stars': 6593, '3 Stars': 6572, '2 Stars': 2526, '1 Star': 785}"
Tales of Mystery and Imagination,isbn not found,isbn13 not found,1853260134,1842.0,Edgar Allan Poe,286,"['Classics', 'Horror', 'Fiction', 'Short Stories', 'Mystery', 'Gothic', 'Fantasy']",10318,4.09,"{'5 Stars': 4091, '4 Stars': 3781, '3 Stars': 1891, '2 Stars': 420, '1 Star': 135}"
The Portrait of a Lady,0141439637,9780141439631,0141439637,1881.0,Henry James,797,"['Fiction', 'Classics', 'Literature', '19th Century', 'Historical Fiction', 'Romance', 'Novels']",83674,3.8,"{'5 Stars': 24826, '4 Stars': 28806, '3 Stars': 20770, '2 Stars': 6615, '1 Star': 2657}"
The Raven,0486290727,9780486290720,0486290727,1845.0,Edgar Allan Poe,64,"['Classics', 'Poetry', 'Horror', 'Fiction', 'Gothic', 'Short Stories', 'School']",161530,4.29,"{'5 Stars': 81987, '4 Stars': 51468, '3 Stars': 22336, '2 Stars': 4396, '1 Star': 1343}"
Peter Pan in Kensington Gardens,0486466078,9780486466071,0486466078,1906.0,J.M. Barrie,192,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Literature', 'Fairy Tales']",14421,3.93,"{'5 Stars': 5436, '4 Stars': 4248, '3 Stars': 3401, '2 Stars': 964, '1 Star': 372}"
"A Boy and His Dog & ""Repent, Harlequin!"" said the Ticktockman",0871881187,9780871881182,0871881187,1987.0,Harlan Ellison,Audio Cassette,"['Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Short Stories', 'Speculative Fiction', 'Classics']",575,4.15,"{'5 Stars': 243, '4 Stars': 218, '3 Stars': 83, '2 Stars': 20, '1 Star': 11}"
Ballet Shoes,0141359803,9780141359809,0141359803,1936.0,Noel Streatfeild,325,"['Classics', 'Childrens', 'Fiction', 'Middle Grade', 'Historical Fiction', 'Young Adult', 'Audiobook']",37828,4.07,"{'5 Stars': 15366, '4 Stars': 12854, '3 Stars': 7296, '2 Stars': 1582, '1 Star': 730}"
The Folk of the Faraway Tree,1405276665,9781405276665,1405276665,1946.0,Enid Blyton,208,"['Fantasy', 'Childrens', 'Fiction', 'Classics', 'Adventure', 'Magic', 'Middle Grade']",18338,4.33,"{'5 Stars': 10114, '4 Stars': 5070, '3 Stars': 2495, '2 Stars': 442, '1 Star': 217}"
Les Rois maudits,2259191746,9782259191746,2259191746,1977.0,Maurice Druon,1620,"['Historical Fiction', 'France', 'Fiction', 'Classics', 'Historical', 'Roman', 'French Literature']",2739,4.54,"{'5 Stars': 1745, '4 Stars': 770, '3 Stars': 189, '2 Stars': 25, '1 Star': 10}"
Shakespeare's Romeo and Juliet,0763622583,9780763622589,0763622583,2003.0,Michael Rosen,80,"['Classics', 'Plays', 'Fiction', 'Romance', 'Drama', 'Literature', 'Poetry']",30374,4.13,"{'5 Stars': 13783, '4 Stars': 8869, '3 Stars': 5957, '2 Stars': 1280, '1 Star': 485}"
To Kill a Mockingbird,0060935464,9780060935467,0060935464,1960.0,Harper Lee,323,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']",6619694,4.26,"{'5 Stars': 3413537, '4 Stars': 1980082, '3 Stars': 875805, '2 Stars': 229487, '1 Star': 120783}"
Malina,0841911894,9780841911895,0841911894,1971.0,Ingeborg Bachmann,244,"['Fiction', 'German Literature', 'Classics', 'Literary Fiction', 'Novels', 'Literature', 'Germany']",4911,4.04,"{'5 Stars': 2035, '4 Stars': 1560, '3 Stars': 918, '2 Stars': 286, '1 Star': 112}"
The Bonfire of the Vanities,isbn not found,isbn13 not found,asin not found,1987.0,Tom Wolfe,690,"['Fiction', 'Classics', 'Literature', 'Novels', 'New York', 'Contemporary', 'Literary Fiction']",84704,3.92,"{'5 Stars': 27235, '4 Stars': 32132, '3 Stars': 18297, '2 Stars': 5104, '1 Star': 1936}"
The Jew of Rome,9997512138,9789997512130,9997512138,1932.0,Lion Feuchtwanger,565,"['Historical Fiction', 'German Literature', 'Classics', 'Christianity', 'Fiction', 'Literature']",168,4.42,"{'5 Stars': 96, '4 Stars': 50, '3 Stars': 19, '2 Stars': 3, '1 Star': 0}"
Lamb in His Bosom,156145074,9781561450749,156145074X,1933.0,Caroline   Miller,357,"['Historical Fiction', 'Fiction', 'Classics', 'Southern', 'Historical', 'Literature', 'Novels']",1806,3.86,"{'5 Stars': 631, '4 Stars': 572, '3 Stars': 398, '2 Stars': 131, '1 Star': 74}"
The Raj Quartet,0380699338,9780380699339,0380699338,1976.0,Paul Scott,1985,"['Fiction', 'Historical Fiction', 'India', 'Historical', 'Novels', 'Literature', 'Classics']",1038,4.49,"{'5 Stars': 653, '4 Stars': 281, '3 Stars': 73, '2 Stars': 19, '1 Star': 12}"
Growing Up Weightless,0553568140,9780553568141,0553568140,1993.0,John M. Ford,261,"['Science Fiction', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'Coming Of Age', 'Speculative Fiction', 'Classics']",318,3.69,"{'5 Stars': 82, '4 Stars': 106, '3 Stars': 94, '2 Stars': 22, '1 Star': 14}"
Ash Road,193242511,9781932425116,193242511X,1965.0,Ivan Southall,160,"['Fiction', 'Young Adult', 'Australia', 'Childrens', 'Adventure', 'Classics', '20th Century']",261,3.85,"{'5 Stars': 84, '4 Stars': 89, '3 Stars': 58, '2 Stars': 24, '1 Star': 6}"
The Custom of the Country,0143039709,9780143039709,0143039709,1913.0,Edith Wharton,370,"['Classics', 'Fiction', 'Historical Fiction', 'American', 'Literature', 'Novels', '20th Century']",15240,4.06,"{'5 Stars': 5488, '4 Stars': 6215, '3 Stars': 2738, '2 Stars': 600, '1 Star': 199}"
A Pocket for Corduroy,067056172,9780670561728,067056172X,1978.0,Don Freeman,32,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Fantasy', 'Kids']",57133,4.31,"{'5 Stars': 31507, '4 Stars': 14596, '3 Stars': 8814, '2 Stars': 1639, '1 Star': 577}"
The Skin Chairs,0860684806,9780860684800,0860684806,1962.0,Barbara Comyns,200,"['Fiction', 'Classics', 'British Literature', '20th Century', 'Contemporary', 'Novels']",256,4.19,"{'5 Stars': 104, '4 Stars': 103, '3 Stars': 43, '2 Stars': 5, '1 Star': 1}"
Cudzoziemka,8373373209,9788373373204,8373373209,1935.0,Maria Kuncewiczowa,224,"['Classics', 'Polish Literature', 'School', 'Fiction', 'Read For School', 'Audiobook', 'Favorites']",2815,3.75,"{'5 Stars': 743, '4 Stars': 1062, '3 Stars': 673, '2 Stars': 242, '1 Star': 95}"
Confessions,0192833723,9780192833723,0192833723,400.0,Augustine of Hippo,341,"['Philosophy', 'Classics', 'Religion', 'Theology', 'Nonfiction', 'Christian', 'Biography']",70270,3.99,"{'5 Stars': 28577, '4 Stars': 21473, '3 Stars': 13248, '2 Stars': 4548, '1 Star': 2424}"
Seventeenth Summer,0689853831,9780689853838,0689853831,1942.0,Maureen Daly,320,"['Young Adult', 'Romance', 'Fiction', 'Classics', 'Realistic Fiction', 'Coming Of Age', 'Teen']",5134,3.13,"{'5 Stars': 836, '4 Stars': 1081, '3 Stars': 1618, '2 Stars': 1091, '1 Star': 508}"
The History of Mary Prince: A West Indian Slave Narrative,0486438635,9780486438634,0486438635,1831.0,Mary Prince,69,"['Nonfiction', 'History', 'Classics', 'Memoir', 'Biography', 'School', '19th Century']",3272,3.81,"{'5 Stars': 796, '4 Stars': 1263, '3 Stars': 1029, '2 Stars': 151, '1 Star': 33}"
Valperga,0192832891,9780192832894,0192832891,1823.0,Mary Wollstonecraft Shelley,462,"['Classics', 'Historical Fiction', 'Fiction', 'Romanticism', 'Literature', 'Italy', 'British Literature']",277,3.56,"{'5 Stars': 60, '4 Stars': 89, '3 Stars': 87, '2 Stars': 28, '1 Star': 13}"
The Third Policeman,156478214,9781564782144,156478214X,1967.0,Flann O'Brien,200,"['Fiction', 'Ireland', 'Irish Literature', 'Classics', 'Fantasy', 'Humor', 'Novels']",22004,3.97,"{'5 Stars': 8300, '4 Stars': 7406, '3 Stars': 4213, '2 Stars': 1465, '1 Star': 620}"
"A Treasury of Great Science Fiction, Volume Two",isbn not found,isbn13 not found,asin not found,1959.0,Anthony Boucher,522,"['Science Fiction', 'Anthologies', 'Short Stories', 'Fiction', 'Speculative Fiction', 'Science Fiction Fantasy', 'Classics']",137,4.18,"{'5 Stars': 57, '4 Stars': 50, '3 Stars': 27, '2 Stars': 3, '1 Star': 0}"
The Poison Belt,0803266340,9780803266346,0803266340,1913.0,Arthur Conan Doyle,93,"['Science Fiction', 'Classics', 'Fiction', 'Adventure', 'Mystery', 'Fantasy', 'Audiobook']",3559,3.5,"{'5 Stars': 662, '4 Stars': 1065, '3 Stars': 1294, '2 Stars': 454, '1 Star': 84}"
The Rest of the Robots,0586025944,9780586025949,B002C14E7A,1964.0,Isaac Asimov,224,"['Science Fiction', 'Fiction', 'Short Stories', 'Classics', 'Robots', 'Fantasy', 'Collections']",7940,4.09,"{'5 Stars': 2711, '4 Stars': 3460, '3 Stars': 1558, '2 Stars': 180, '1 Star': 31}"
The Black Stallion,0965476022,9780965476027,0965476022,1941.0,Walter Farley,275,"['Classics', 'Fiction', 'Childrens', 'Horses', 'Young Adult', 'Animals', 'Middle Grade']",74828,4.19,"{'5 Stars': 34601, '4 Stars': 23779, '3 Stars': 13549, '2 Stars': 2223, '1 Star': 676}"
The Analects,0140443487,9780140443486,0140443487,476.0,Confucius,249,"['Philosophy', 'Classics', 'Nonfiction', 'China', 'Religion', 'History', 'Spirituality']",23328,3.81,"{'5 Stars': 7071, '4 Stars': 7660, '3 Stars': 6225, '2 Stars': 1769, '1 Star': 603}"
Hiroshima,0679721037,9780679721031,0679721037,1946.0,John Hersey,152,"['History', 'Nonfiction', 'War', 'Classics', 'Japan', 'World War II', 'Historical']",85675,4.04,"{'5 Stars': 31177, '4 Stars': 33122, '3 Stars': 16463, '2 Stars': 3502, '1 Star': 1411}"
The Wall,0394756967,9780394756967,0394756967,1938.0,John Hersey,640,"['Historical Fiction', 'Fiction', 'Holocaust', 'War', 'World War II', 'Classics', 'Novels']",1998,4.28,"{'5 Stars': 987, '4 Stars': 699, '3 Stars': 240, '2 Stars': 38, '1 Star': 34}"
The Girls,0452260779,9780452260771,0452260779,1986.0,John    Bowen,182,"['Fiction', 'Horror', 'LGBT', 'Queer', 'Classics', 'British Literature', 'Lesbian']",593,4.09,"{'5 Stars': 211, '4 Stars': 253, '3 Stars': 105, '2 Stars': 19, '1 Star': 5}"
Silent Spring,0618249060,9780618249060,0618249060,1962.0,Rachel Carson,378,"['Nonfiction', 'Science', 'Environment', 'Nature', 'Classics', 'Ecology', 'History']",52641,4.05,"{'5 Stars': 19823, '4 Stars': 19921, '3 Stars': 9696, '2 Stars': 2180, '1 Star': 1021}"
The Adventure of the Copper Beeches - a Sherlock Holmes Short Story,1425474144,9781425474140,1425474144,1892.0,Arthur Conan Doyle,48,"['Mystery', 'Classics', 'Short Stories', 'Fiction', 'Crime', 'Audiobook', 'Detective']",4926,3.85,"{'5 Stars': 1277, '4 Stars': 1962, '3 Stars': 1409, '2 Stars': 242, '1 Star': 36}"
The Travels of Jaimie McPheeters,0385422229,9780385422222,0385422229,1958.0,Robert Lewis Taylor,544,"['Historical Fiction', 'Fiction', 'Westerns', 'Classics', 'Adventure', 'Humor', 'Historical']",3238,3.97,"{'5 Stars': 1264, '4 Stars': 1020, '3 Stars': 643, '2 Stars': 199, '1 Star': 112}"
Last and First Men,0486466825,9780486466828,0486466825,1930.0,Olaf Stapledon,246,"['Science Fiction', 'Fiction', 'Classics', 'Philosophy', 'Fantasy', 'Speculative Fiction', 'Science Fiction Fantasy']",6692,3.79,"{'5 Stars': 2058, '4 Stars': 2214, '3 Stars': 1604, '2 Stars': 575, '1 Star': 241}"
Leaves of Grass,isbn not found,isbn13 not found,asin not found,1855.0,Walt Whitman,624,"['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '19th Century', 'Philosophy']",113868,4.12,"{'5 Stars': 51658, '4 Stars': 34954, '3 Stars': 18844, '2 Stars': 5575, '1 Star': 2837}"
The Butter Battle Book,0394865804,9780394865805,0394865804,1984.0,Dr. Seuss,56,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Poetry', 'War', 'Fantasy']",14430,4.14,"{'5 Stars': 6737, '4 Stars': 4226, '3 Stars': 2544, '2 Stars': 668, '1 Star': 255}"
Pentimento,0316352888,9780316352888,0316352888,1973.0,Lillian Hellman,320,"['Memoir', 'Nonfiction', 'Biography', 'Biography Memoir', 'Autobiography', 'History', 'Classics']",2936,3.95,"{'5 Stars': 1081, '4 Stars': 1055, '3 Stars': 503, '2 Stars': 171, '1 Star': 126}"
The Lost Queen of Egypt,0397300441,9780397300440,0397300441,1937.0,Lucile Morrison,367,"['Historical Fiction', 'Egypt', 'Fiction', 'Historical', 'Classics', 'Africa', 'Young Adult']",326,4.48,"{'5 Stars': 213, '4 Stars': 67, '3 Stars': 37, '2 Stars': 6, '1 Star': 3}"
The Bloody Chamber and Other Stories,0099588110,9780099588115,B0093FZMJW,1979.0,Angela Carter,149,"['Short Stories', 'Fantasy', 'Horror', 'Fiction', 'Gothic', 'Classics', 'Fairy Tales']",62551,3.91,"{'5 Stars': 20225, '4 Stars': 22967, '3 Stars': 14041, '2 Stars': 4068, '1 Star': 1250}"
The Word for World Is Forest,isbn not found,isbn13 not found,B0DTRHFVCX,1972.0,Ursula K. Le Guin,160,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Speculative Fiction', 'Science Fiction Fantasy', 'Novella']",39021,4.06,"{'5 Stars': 13267, '4 Stars': 16772, '3 Stars': 7298, '2 Stars': 1347, '1 Star': 337}"
The Neverending Story,0525457585,9780525457589,0525457585,1979.0,Michael Ende,396,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'German Literature']",214282,4.18,"{'5 Stars': 99768, '4 Stars': 67911, '3 Stars': 35237, '2 Stars': 8287, '1 Star': 3079}"
La Cantatrice chauve / La Leçon,2070362361,9782070362363,2070362361,1961.0,Eugène Ionesco,208,"['Plays', 'France', 'Theatre', 'Classics', 'Fiction', 'Drama', 'French Literature']",9629,3.84,"{'5 Stars': 3211, '4 Stars': 3186, '3 Stars': 2100, '2 Stars': 769, '1 Star': 363}"
King Lear,1893131068,9781893131064,1893131068,2007.0,Gareth Hinds,128,"['Graphic Novels', 'Classics', 'Fiction', 'Plays', 'Comics', 'Historical Fiction', 'Literature']",2935,4.18,"{'5 Stars': 1411, '4 Stars': 824, '3 Stars': 548, '2 Stars': 129, '1 Star': 23}"
The Jew of Malta,0486431843,9780486431840,0486431843,1589.0,Christopher Marlowe,80,"['Plays', 'Classics', 'Drama', 'Fiction', 'School', 'Literature', '16th Century']",6058,3.58,"{'5 Stars': 1296, '4 Stars': 2042, '3 Stars': 1830, '2 Stars': 634, '1 Star': 256}"
"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",0905712617,9780905712611,0905712617,1981.0,Isaac Asimov,864,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Philosophy']",5452,4.4,"{'5 Stars': 3039, '4 Stars': 1711, '3 Stars': 580, '2 Stars': 97, '1 Star': 25}"
Eugene Onegin,isbn not found,isbn13 not found,asin not found,1833.0,Alexander Pushkin,240,"['Classics', 'Poetry', 'Russia', 'Fiction', 'Russian Literature', 'Literature', '19th Century']",68463,4.1,"{'5 Stars': 29527, '4 Stars': 21980, '3 Stars': 12550, '2 Stars': 3307, '1 Star': 1099}"
Parker Pyne Investigates,0007154828,9780007154821,0007154828,1934.0,Agatha Christie,320,"['Mystery', 'Agatha Christie', 'Fiction', 'Short Stories', 'Crime', 'Classics', 'Detective']",20803,3.76,"{'5 Stars': 5695, '4 Stars': 6881, '3 Stars': 6251, '2 Stars': 1550, '1 Star': 426}"
Night of the Werewolf,0448436965,9780448436968,0448436965,2005.0,Franklin W. Dixon,192,"['Mystery', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Classics', 'Werewolves']",908,3.7,"{'5 Stars': 235, '4 Stars': 258, '3 Stars': 340, '2 Stars': 61, '1 Star': 14}"
Sir Nigel and the White Company,1934757179,9781934757178,1934757179,2005.0,Arthur Conan Doyle,560,"['Historical Fiction', 'Classics', 'Fiction', 'Adventure', 'Medieval', 'Historical', 'British Literature']",224,4.21,"{'5 Stars': 99, '4 Stars': 79, '3 Stars': 40, '2 Stars': 5, '1 Star': 1}"
St. Bartholomew's Eve: A Tale of the Huguenot Wars,1887159088,9781887159081,1887159088,1894.0,G.A. Henty,377,"['Historical Fiction', 'Fiction', 'Adventure', 'Classics', 'Young Adult', 'Historical', 'War']",377,3.95,"{'5 Stars': 129, '4 Stars': 127, '3 Stars': 98, '2 Stars': 18, '1 Star': 5}"
Peer Gynt,0486426866,9780486426860,0486426866,1867.0,Henrik Ibsen,144,"['Plays', 'Classics', 'Drama', 'Fiction', 'Poetry', 'Theatre', '19th Century']",8972,3.71,"{'5 Stars': 2467, '4 Stars': 2909, '3 Stars': 2418, '2 Stars': 862, '1 Star': 316}"
