book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Splitter,isbn not found,9783426198476,3426198479,2008.0,Sebastian Fitzek,375,"['Thriller', 'Crime', 'Fiction', 'Mystery', 'German Literature', 'Audiobook', 'Mystery Thriller']",8340,3.73,"{'5 Stars': 2077, '4 Stars': 2973, '3 Stars': 2395, '2 Stars': 731, '1 Star': 164}"
Down to a Sunless Sea,isbn not found,isbn13 not found,B0DLT72DH9,1979.0,David        Graham,317,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Dystopia', 'Thriller', 'Fantasy']",961,3.89,"{'5 Stars': 319, '4 Stars': 343, '3 Stars': 209, '2 Stars': 59, '1 Star': 31}"
The Marriage Act,1335005935,9781335005939,1335005935,2023.0,John Marrs,432,"['Thriller', 'Science Fiction', 'Fiction', 'Dystopia', 'Audiobook', 'Mystery Thriller', 'Mystery']",36956,3.8,"{'5 Stars': 8384, '4 Stars': 15774, '3 Stars': 10230, '2 Stars': 2068, '1 Star': 500}"
Those Empty Eyes,1496727177,9781496727176,1496727177,2023.0,Charlie Donlea,368,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Book Club']",70458,4.16,"{'5 Stars': 27881, '4 Stars': 28990, '3 Stars': 11175, '2 Stars': 1941, '1 Star': 471}"
I Lied For You,isbn not found,isbn13 not found,B0DM4H1B2M,2022.0,Zee David,88,"['Mystery', 'Mystery Thriller', 'Thriller']",133,3.5,"{'5 Stars': 41, '4 Stars': 26, '3 Stars': 34, '2 Stars': 22, '1 Star': 10}"
The Man In Black,1005052034,9781005052034,B0BJW18W7X,2022.0,L.R. Liverpool,897,"['Thriller', 'LGBT', 'M M Romance', 'Fiction', 'Adult', 'Queer', 'Historical Fiction']",131,4.33,"{'5 Stars': 56, '4 Stars': 65, '3 Stars': 8, '2 Stars': 1, '1 Star': 1}"
The Bandit Queens,1838957146,9781838957148,1838957146,2023.0,Parini Shroff,352,"['Fiction', 'Mystery', 'Book Club', 'Contemporary', 'Audiobook', 'India', 'Thriller']",42771,3.93,"{'5 Stars': 11737, '4 Stars': 19004, '3 Stars': 9704, '2 Stars': 1844, '1 Star': 482}"
When Mimi Went Missing,1641295368,9781641295369,1641295368,2024.0,Suja Sukumar,288,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Fiction', 'Contemporary', 'Mental Health']",313,3.64,"{'5 Stars': 78, '4 Stars': 95, '3 Stars': 96, '2 Stars': 37, '1 Star': 7}"
The Slayer's Apprentice,1603706011,9781603706018,1603706011,2009.0,Zathyn Priest,258,"['M M Romance', 'Mystery', 'Contemporary', 'Romance', 'Thriller', 'Dark', 'Abuse']",853,3.97,"{'5 Stars': 343, '4 Stars': 287, '3 Stars': 127, '2 Stars': 50, '1 Star': 46}"
Death at Castle Cove,1804269018,9781804269015,B0BKFQZMBC,2023.0,Mary Grand,344,"['Mystery', 'Thriller', 'Cozy Mystery', 'Fiction', 'Audiobook', 'Crime', 'Contemporary']",1531,4.05,"{'5 Stars': 588, '4 Stars': 552, '3 Stars': 294, '2 Stars': 71, '1 Star': 26}"
The Law of Nines,0399156046,9780399156045,0399156046,2009.0,Terry Goodkind,502,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Thriller', 'Science Fiction', 'Science Fiction Fantasy', 'Audiobook']",13110,3.63,"{'5 Stars': 3482, '4 Stars': 4008, '3 Stars': 3542, '2 Stars': 1426, '1 Star': 652}"
