book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Partners In Necessity,1592221181,9781592221189,1592221181,2000.0,Sharon Lee,856,"['Science Fiction', 'Space Opera', 'Fantasy', 'Romance', 'Fiction', 'Science Fiction Fantasy', 'Adventure']",1059,4.47,"{'5 Stars': 655, '4 Stars': 280, '3 Stars': 100, '2 Stars': 19, '1 Star': 5}"
Scarlet,0802723462,9780802723468,0802723462,2012.0,A.C. Gaughen,287,"['Young Adult', 'Historical Fiction', 'Fantasy', 'Romance', 'Retellings', 'Historical', 'Adventure']",25172,3.93,"{'5 Stars': 9035, '4 Stars': 8601, '3 Stars': 5079, '2 Stars': 1602, '1 Star': 855}"
Fyre,0061242454,9780061242458,0061242454,2013.0,Angie Sage,720,"['Fantasy', 'Young Adult', 'Middle Grade', 'Magic', 'Fiction', 'Childrens', 'Adventure']",16997,4.3,"{'5 Stars': 8396, '4 Stars': 5876, '3 Stars': 2260, '2 Stars': 366, '1 Star': 99}"
The Tokaido Road: A Novel of Feudal Japan,0345370260,9780345370266,0345370260,1991.0,Lucia St. Clair Robson,513,"['Historical Fiction', 'Japan', 'Fiction', 'Historical', 'Adventure', 'Romance', 'Asia']",1164,4.13,"{'5 Stars': 492, '4 Stars': 411, '3 Stars': 202, '2 Stars': 37, '1 Star': 22}"
The Sworn Sword,isbn not found,isbn13 not found,B0DTRYTD9T,2003.0,George R.R. Martin,81,"['Fantasy', 'Fiction', 'Short Stories', 'Novella', 'Adventure', 'High Fantasy', 'Audiobook']",17796,4.11,"{'5 Stars': 6193, '4 Stars': 7841, '3 Stars': 3350, '2 Stars': 360, '1 Star': 52}"
Look Into My Eyes,0007334060,9780007334063,0007334060,2011.0,Lauren Child,390,"['Mystery', 'Middle Grade', 'Fiction', 'Young Adult', 'Adventure', 'Childrens', 'Espionage']",8673,4.23,"{'5 Stars': 4223, '4 Stars': 2717, '3 Stars': 1317, '2 Stars': 298, '1 Star': 118}"
The Last Testament,0007203330,9780007203338,0007203330,2007.0,Sam Bourne,567,"['Fiction', 'Thriller', 'Mystery', 'Historical Fiction', 'Adventure', 'Crime', 'Religion']",4519,3.64,"{'5 Stars': 1006, '4 Stars': 1527, '3 Stars': 1463, '2 Stars': 405, '1 Star': 118}"
Inversions,074341196,9780743411967,074341196X,1998.0,Iain M. Banks,343,"['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Cultural', 'Science Fiction Fantasy', 'Adventure']",19639,3.95,"{'5 Stars': 5872, '4 Stars': 8287, '3 Stars': 4414, '2 Stars': 848, '1 Star': 218}"
Blood in the Skies,1434432084,9781434432087,1434432084,2011.0,G.D. Falksen,266,"['Steampunk', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Post Apocalyptic', 'Young Adult']",247,3.72,"{'5 Stars': 89, '4 Stars': 60, '3 Stars': 54, '2 Stars': 27, '1 Star': 17}"
Scent of Magic,0778314189,9780778314189,0778314189,2012.0,Maria V. Snyder,414,"['Fantasy', 'Young Adult', 'Magic', 'Romance', 'High Fantasy', 'Fiction', 'Adventure']",24415,4.12,"{'5 Stars': 9592, '4 Stars': 9437, '3 Stars': 4279, '2 Stars': 824, '1 Star': 283}"
Doomsday,0091943094,9780091943097,0091943094,2010.0,Graham  Brown,480,"['Thriller', 'Fiction', 'Adventure', 'Suspense', 'Science Fiction', 'Mystery', 'Action']",1712,4.01,"{'5 Stars': 577, '4 Stars': 682, '3 Stars': 361, '2 Stars': 76, '1 Star': 16}"
Defender,isbn not found,isbn13 not found,B0057OAXQ0,2011.0,Robert J. Crane,269,"['Fantasy', 'Dragons', 'Fiction', 'Adventure', 'Amazon', 'Thriller', 'Action']",3165,3.95,"{'5 Stars': 1265, '4 Stars': 952, '3 Stars': 601, '2 Stars': 221, '1 Star': 126}"
Hippocampus,isbn not found,isbn13 not found,B007OAF45U,2012.0,Tom Tancin,189,"['Science Fiction', 'Dystopia', 'Adventure', 'Young Adult', 'Mermaids', 'Teen']",129,3.4,"{'5 Stars': 35, '4 Stars': 21, '3 Stars': 41, '2 Stars': 24, '1 Star': 8}"
The Curse of Capistrano ( The Mark of Zorro) by Johnston McCulley,isbn not found,isbn13 not found,B0DMCV4Y8H,1919.0,Johnston McCulley,Nook,"['Classics', 'Adventure', 'Fiction', 'Historical Fiction', 'Historical', 'Westerns', 'Audiobook']",7010,3.99,"{'5 Stars': 2399, '4 Stars': 2598, '3 Stars': 1651, '2 Stars': 301, '1 Star': 61}"
Chomp,0375868429,9780375868429,0375868429,2012.0,Carl Hiaasen,290,"['Fiction', 'Young Adult', 'Humor', 'Middle Grade', 'Adventure', 'Realistic Fiction', 'Audiobook']",23052,3.98,"{'5 Stars': 7471, '4 Stars': 9232, '3 Stars': 5165, '2 Stars': 897, '1 Star': 287}"
Praetorian,0755353773,9780755353774,0755353773,2011.0,Simon Scarrow,368,"['Historical Fiction', 'Fiction', 'Historical', 'Roman', 'Adventure', 'Audiobook', 'Military Fiction']",4683,4.27,"{'5 Stars': 2104, '4 Stars': 1842, '3 Stars': 649, '2 Stars': 68, '1 Star': 20}"
Walt Disney's Alice in Wonderland,1570820317,9781570820311,1570820317,1951.0,Walt Disney Company,96,"['Childrens', 'Picture Books', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'Media Tie In']",11870,4.37,"{'5 Stars': 7392, '4 Stars': 2219, '3 Stars': 1679, '2 Stars': 401, '1 Star': 179}"
Faith of the Fallen,081257639,9780812576399,081257639X,2000.0,Terry Goodkind,785,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure']",73830,4.11,"{'5 Stars': 34131, '4 Stars': 21553, '3 Stars': 12131, '2 Stars': 3936, '1 Star': 2079}"
