book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
The Game of Kings,0679777431,9780679777434,0679777431,1961.0,Dorothy Dunnett,543,"['Historical Fiction', 'Fiction', 'Historical', 'Scotland', 'Fantasy', 'Adventure', 'Romance']",9935,4.14,"{'5 Stars': 5020, '4 Stars': 2698, '3 Stars': 1260, '2 Stars': 543, '1 Star': 414}"
Niccolò Rising,0375704779,9780375704772,0375704779,1986.0,Dorothy Dunnett,470,"['Historical Fiction', 'Fiction', 'Historical', 'Italy', 'Adventure', 'Belgium', '15th Century']",4573,4.28,"{'5 Stars': 2375, '4 Stars': 1432, '3 Stars': 527, '2 Stars': 156, '1 Star': 83}"
Scales of Gold,0375704809,9780375704802,0375704809,1991.0,Dorothy Dunnett,544,"['Historical Fiction', 'Historical', 'Fiction', 'Adventure', 'Africa', 'Audiobook', 'Romance']",2425,4.48,"{'5 Stars': 1462, '4 Stars': 712, '3 Stars': 213, '2 Stars': 30, '1 Star': 8}"
How the García Girls Lost Their Accents,0452287073,9780452287075,0452287073,1991.0,Julia Alvarez,286,"['Fiction', 'Historical Fiction', 'Young Adult', 'Book Club', 'Classics', 'Coming Of Age', 'Novels']",31837,3.62,"{'5 Stars': 5827, '4 Stars': 12015, '3 Stars': 10738, '2 Stars': 2646, '1 Star': 611}"
Queens' Play,067977744,9780679777441,067977744X,1964.0,Dorothy Dunnett,432,"['Historical Fiction', 'Historical', 'Fiction', 'Scotland', 'France', 'Adventure', '16th Century']",4707,4.45,"{'5 Stars': 2826, '4 Stars': 1346, '3 Stars': 414, '2 Stars': 82, '1 Star': 39}"
The Unicorn Hunt,0375704817,9780375704819,0375704817,1993.0,Dorothy Dunnett,656,"['Historical Fiction', 'Historical', 'Fiction', 'Scotland', 'Audiobook', 'Romance', '15th Century']",2157,4.42,"{'5 Stars': 1219, '4 Stars': 671, '3 Stars': 223, '2 Stars': 33, '1 Star': 11}"
Race of Scorpions,0375704795,9780375704796,0375704795,1989.0,Dorothy Dunnett,560,"['Historical Fiction', 'Historical', 'Fiction', '15th Century', 'Adventure', 'Audiobook', 'Romance']",2575,4.44,"{'5 Stars': 1473, '4 Stars': 797, '3 Stars': 270, '2 Stars': 28, '1 Star': 7}"
My Life And Work,1420928198,9781420928198,1420928198,1922.0,Henry Ford,140,"['Biography', 'Business', 'Nonfiction', 'History', 'Autobiography', 'Classics', 'Management']",5297,4.18,"{'5 Stars': 2365, '4 Stars': 1840, '3 Stars': 838, '2 Stars': 195, '1 Star': 59}"
Visitation,1846271908,9781846271908,1846271908,2008.0,Jenny Erpenbeck,150,"['Fiction', 'Historical Fiction', 'Germany', 'German Literature', 'Historical', 'Contemporary', 'Novels']",5939,3.6,"{'5 Stars': 1309, '4 Stars': 2132, '3 Stars': 1606, '2 Stars': 604, '1 Star': 288}"
Gathering of Waters,161775031,9781617750311,161775031X,2012.0,Bernice L. McFadden,250,"['Historical Fiction', 'Fiction', 'African American', 'Historical', 'Southern', 'Race', 'Magical Realism']",2787,4.0,"{'5 Stars': 981, '4 Stars': 1073, '3 Stars': 544, '2 Stars': 142, '1 Star': 47}"
People of the Weeping Eye,076531438,9780765314383,076531438X,2008.0,W. Michael Gear,432,"['Historical Fiction', 'Fiction', 'Native American', 'Historical', 'Native Americans', 'Prehistoric', 'American']",942,4.3,"{'5 Stars': 464, '4 Stars': 344, '3 Stars': 100, '2 Stars': 23, '1 Star': 11}"
The People's Act of Love,1841958778,9781841958774,1841958778,2005.0,James Meek,391,"['Fiction', 'Historical Fiction', 'Russia', 'Historical', 'War', 'Book Club', 'Literary Fiction']",3228,3.7,"{'5 Stars': 789, '4 Stars': 1221, '3 Stars': 813, '2 Stars': 262, '1 Star': 143}"
Filter,1461053005,9781461053002,1461053005,2010.0,Gwenn Wright,392,"['Historical Fiction', 'Young Adult', 'Gothic', 'Romance', 'Fiction', 'Mystery', 'Historical']",119,4.17,"{'5 Stars': 57, '4 Stars': 39, '3 Stars': 13, '2 Stars': 6, '1 Star': 4}"
Hidden Truths,1934889733,9781934889732,1934889733,2011.0,Jae,572,"['Historical', 'Romance', 'Historical Fiction', 'Lesbian', 'LGBT', 'Westerns', 'Audiobook']",1703,4.47,"{'5 Stars': 1000, '4 Stars': 543, '3 Stars': 132, '2 Stars': 21, '1 Star': 7}"
Glamorous Illusions,1434764303,9781434764300,1434764303,2012.0,Lisa Tawn Bergren,416,"['Historical Fiction', 'Christian Fiction', 'Romance', 'Historical', 'Christian', 'Fiction', 'Historical Romance']",4045,3.85,"{'5 Stars': 1164, '4 Stars': 1525, '3 Stars': 1027, '2 Stars': 248, '1 Star': 81}"
